P14,Mount Pocono Pa,410730,752230,0.32050,-1.33779,410730,751500,0.32996,-1.34624,410000,752230,0.32825,-1.33546,410000,751500,0.33516,-1.34306
P15,East Stroudsburg Pa,410730,751500,0.32996,-1.34624,410730,750730,0.33616,-1.36143,410000,751500,0.33516,-1.34306,410000,750730,0.34266,-1.35838
012,Bushkill Pa-NJ,410730,750730,0.33616,-1.36143,410730,750000,0.34266,-1.37662,410000,750730,0.34266,-1.35838,410000,750000,0.35016,-1.37370
013,Flatbrookville NJ-Pa,410730,750000,0.34266,-1.37662,410730,745230,0.34506,-1.39118,410000,750000,0.35016,-1.37370,410000,745230,0.35088,-1.39015
014,Newton West NJ,410730,745230,0.34506,-1.39118,410730,744500,0.34745,-1.40573,410000,745230,0.35088,-1.39015,410000,744500,0.35160,-1.40659
015,Newton East NJ,410730,744500,0.34745,-1.40573,410730,743730,0.34726,-1.41899,410000,744500,0.35160,-1.40659,410000,743730,0.35216,-1.42138
016,Franklin NJ,410730,743730,0.34726,-1.41899,410730,743000,0.34707,-1.43225,410000,743730,0.35216,-1.42138,410000,743000,0.35273,-1.43616
017,Newfoundland NJ,410730,743000,0.34707,-1.43225,410730,742230,0.34544,-1.44992,410000,743000,0.35273,-1.43616,410000,742230,0.35177,-1.45347
018,Wanaque NJ,410730,742230,0.34544,-1.44992,410730,741500,0.34382,-1.46759,410000,742230,0.35177,-1.45347,410000,741500,0.35081,-1.47078
019,Ramsey NJ-NY,410730,741500,0.34382,-1.46759,410730,740730,0.34417,-1.48257,410000,741500,0.35081,-1.47078,410000,740730,0.35092,-1.48643
020,Park Ridge NJ-NY,410730,740730,0.34417,-1.48257,410730,740000,0.34451,-1.49754,410000,740730,0.35092,-1.48643,410000,740000,0.35102,-1.50208
021,Nyack NY-NJ,410730,740000,0.34451,-1.49754,410730,735230,0.34500,-1.51100,410000,740000,0.35102,-1.50208,410000,735230,0.35150,-1.51451
N11,White Plains NY,410730,735230,0.34500,-1.51100,410730,734500,0.34549,-1.52447,410000,735230,0.35150,-1.51451,410000,734500,0.35197,-1.52693
N12,Glenville NY,410730,734500,0.34549,-1.52447,410730,733730,0.34630,-1.54223,410000,734500,0.35197,-1.52693,410000,733730,0.35113,-1.54615
P16,Pohopoco Pa,410000,753730,0.31464,-1.31803,410000,753000,0.32133,-1.32786,405230,753730,0.32860,-1.32322,405230,753000,0.33305,-1.33365
P17,Brodheadsville Pa,410000,753000,0.32133,-1.32786,410000,752230,0.32825,-1.33546,405230,753000,0.33305,-1.33365,405230,752230,0.33797,-1.34239
P18,Saylorsburg Pa,410000,752230,0.32825,-1.33546,410000,751500,0.33516,-1.34306,405230,752230,0.33797,-1.34239,405230,751500,0.34289,-1.35113
022,Stroudsburg Pa-NJ,410000,751500,0.33516,-1.34306,410000,750730,0.34266,-1.35838,405230,751500,0.34289,-1.35113,405230,750730,0.34833,-1.36441
023,Portland NJ-Pa,410000,750730,0.34266,-1.35838,410000,750000,0.35016,-1.37370,405230,750730,0.34833,-1.36441,405230,750000,0.35376,-1.37770
024,Blairstown NJ,410000,750000,0.35016,-1.37370,410000,745230,0.35088,-1.39015,405230,750000,0.35376,-1.37770,405230,745230,0.35504,-1.39365
